#SN	RA	DEC	ZHEL	ZCMB	PASS
sim_sne/20	0.0	0.0	0.297708	0.297708	True
sim_sne/200	0.0	0.0	0.297708	0.297708	True
sim_sne/201	0.0	0.0	0.297708	0.297708	True
sim_sne/202	0.0	0.0	0.297708	0.297708	True
sim_sne/203	0.0	0.0	0.297708	0.297708	True
sim_sne/204	0.0	0.0	0.297708	0.297708	True
sim_sne/205	0.0	0.0	0.297708	0.297708	True
sim_sne/206	0.0	0.0	0.297708	0.297708	True
sim_sne/21	0.0	0.0	0.297708	0.297708	True
sim_sne/22	0.0	0.0	0.297708	0.297708	True
sim_sne/23	0.0	0.0	0.297708	0.297708	True
sim_sne/24	0.0	0.0	0.297708	0.297708	True
sim_sne/25	0.0	0.0	0.297708	0.297708	True
sim_sne/26	0.0	0.0	0.297708	0.297708	True
sim_sne/27	0.0	0.0	0.297708	0.297708	True
sim_sne/28	0.0	0.0	0.297708	0.297708	True
sim_sne/29	0.0	0.0	0.297708	0.297708	True
sim_sne/3	0.0	0.0	0.297708	0.297708	True
sim_sne/30	0.0	0.0	0.297708	0.297708	True
sim_sne/31	0.0	0.0	0.297708	0.297708	True
sim_sne/32	0.0	0.0	0.297708	0.297708	True
sim_sne/33	0.0	0.0	0.297708	0.297708	True
sim_sne/34	0.0	0.0	0.297708	0.297708	True
sim_sne/35	0.0	0.0	0.297708	0.297708	True
sim_sne/36	0.0	0.0	0.297708	0.297708	True
sim_sne/37	0.0	0.0	0.297708	0.297708	True
sim_sne/38	0.0	0.0	0.297708	0.297708	True
sim_sne/39	0.0	0.0	0.297708	0.297708	True
sim_sne/4	0.0	0.0	0.297708	0.297708	True
sim_sne/40	0.0	0.0	0.297708	0.297708	True
sim_sne/41	0.0	0.0	0.297708	0.297708	True
sim_sne/42	0.0	0.0	0.297708	0.297708	True
sim_sne/43	0.0	0.0	0.297708	0.297708	True
sim_sne/44	0.0	0.0	0.297708	0.297708	True
sim_sne/45	0.0	0.0	0.297708	0.297708	True
sim_sne/46	0.0	0.0	0.297708	0.297708	True
sim_sne/47	0.0	0.0	0.297708	0.297708	True
sim_sne/48	0.0	0.0	0.297708	0.297708	True
sim_sne/49	0.0	0.0	0.297708	0.297708	True
sim_sne/5	0.0	0.0	0.297708	0.297708	True
sim_sne/50	0.0	0.0	0.297708	0.297708	True
sim_sne/51	0.0	0.0	0.297708	0.297708	True
sim_sne/52	0.0	0.0	0.297708	0.297708	True
sim_sne/53	0.0	0.0	0.297708	0.297708	True
sim_sne/54	0.0	0.0	0.297708	0.297708	True
sim_sne/55	0.0	0.0	0.297708	0.297708	True
sim_sne/56	0.0	0.0	0.297708	0.297708	True
sim_sne/57	0.0	0.0	0.297708	0.297708	True
sim_sne/58	0.0	0.0	0.297708	0.297708	True
sim_sne/59	0.0	0.0	0.297708	0.297708	True
sim_sne/6	0.0	0.0	0.297708	0.297708	True
sim_sne/60	0.0	0.0	0.297708	0.297708	True
sim_sne/61	0.0	0.0	0.297708	0.297708	True
sim_sne/62	0.0	0.0	0.297708	0.297708	True
sim_sne/63	0.0	0.0	0.297708	0.297708	True
sim_sne/64	0.0	0.0	0.297708	0.297708	True
sim_sne/65	0.0	0.0	0.297708	0.297708	True
sim_sne/66	0.0	0.0	0.297708	0.297708	True
sim_sne/67	0.0	0.0	0.297708	0.297708	True
sim_sne/68	0.0	0.0	0.297708	0.297708	True
sim_sne/69	0.0	0.0	0.297708	0.297708	True
sim_sne/7	0.0	0.0	0.297708	0.297708	True
sim_sne/70	0.0	0.0	0.297708	0.297708	True
